"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"GTF2E2","GTF2E2","grey","grey",0.0966815791146618,0.0892953079070249,0.0477459398840796,0.0942102750009924,0.0764120782904509,0.0797179397491322,0.0756570348783049,0.0683820348513645,0.0157362562031828
"GSR","GSR","oligo1","brown",0.0598541791103366,0.067690006079341,0.0333829696645468,0.0538124940547208,0.0539705978062276,0.0500135381953959,0.0532073840365554,0.0453928807212397,0.0159204943117858
"PPP2CB","PPP2CB","grey","grey",0.141821953087983,0.13265380004719,0.128188235739506,0.127751127335638,0.112975845584643,0.11086138121126,0.109278026570968,0.0986807549416506,0.0261839695561347
"PURG","PURG","grey","grey",0.114689717155823,0.10677604278102,0.0588510985228066,0.110583417171279,0.0855573931744676,0.0983406360217197,0.0714164260876744,0.0879605171291318,0.0267111270245169
"WRN","WRN","grey","grey",0.177077002753775,0.154476360736278,0.107347192499894,0.169932767945505,0.132370539470499,0.148835802778788,0.143265199458637,0.132558419220463,0.0401997713170684
"NRG1","NRG1","oligo8","yellow",0.0019913287946795,0.0165436898208816,-0.00495494537694442,-0.00654422679799512,0.00911206703149384,0.00107311603189343,0.00138006385501736,0.00768977392502356,0.145573745064315
"FUT10","FUT10","grey","grey",0.0818722400325777,0.0707638430431901,0.0401822486139264,0.0808592299638851,0.0550934100169369,0.064484764269653,0.0656009091599192,0.059105234688051,0.0142394930761625
"TTI2","TTI2","grey","grey",0.0802516152426261,0.0658056876158026,0.0503860229562987,0.0787835659537184,0.054861464398182,0.0663125511475501,0.0581354326470327,0.0544441851828207,0.00808181362424217
"UNC5D","UNC5D","oligo8","yellow",0.00987328434220258,0.0132389590123893,0.0154186894366536,-0.0017725896293613,0.0115883125365828,0.00202530056277132,-0.00222596119166626,0.00694546702241026,0.123078217170809
"ERLIN2","ERLIN2","grey","grey",0.100661520148186,0.0949379570617722,0.0894672115314351,0.0859969125653219,0.0702435187931478,0.0918684822159133,0.0813987766574473,0.088999619429931,0.0119115343298855
"PLPBP","PLPBP","grey","grey",0.0744428053504594,0.0634133238677756,0.0678213949279423,0.0662385466320426,0.0476278581164351,0.0626295246437376,0.0508662005696368,0.053547131289148,0.011635960997996
"ASH2L","ASH2L","grey","grey",0.0961828548323186,0.094032691024622,0.0741374321627637,0.0816216262825399,0.0702923914948616,0.0880315650096601,0.0637143647941659,0.0831884795870064,0.0193318630532502
"BAG4","BAG4","grey","grey",0.088658126494447,0.0800755584278978,0.0630027931497991,0.0855815045560382,0.0679221293160655,0.0732099366395186,0.0743944812785923,0.0622448737051469,0.0321497773572048
"DDHD2","DDHD2","grey","grey",0.156716179207857,0.153317945326504,0.120721940382473,0.134293287008432,0.113943986470456,0.139220806865816,0.148649828168991,0.139466950833758,0.0388839596913121
"NSD3","NSD3","grey","grey",0.318100016983928,0.289268787276124,0.215145972478539,0.308365458516944,0.240537422693793,0.279395473468864,0.268774239699286,0.256226107854278,0.0581020541253351
"TACC1","TACC1","oligo1","brown",0.312648210105521,0.320534226066586,0.190968128039552,0.305686819950923,0.240471742499886,0.28673580417617,0.255795010592269,0.255220068295601,0.0497337809325297
"ADAM9","ADAM9","grey","grey",0.107230187342628,0.0970808940806643,0.0733505350304029,0.0998302390390005,0.0762299144045618,0.0907064918981571,0.0825209518138313,0.0889874532420249,0.0254758529232266
"SFRP1","SFRP1","oligo2","blue",0.0466777375003075,0.0358983468124252,0.086376025286508,0.0223993287593893,0.011724880874052,0.0391996230633546,-0.0196150830055672,0.0410138511996637,0.0107589202673439
