"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7"
"GNAQ","GNAQ","oligo4","green",0.359142290741872,0.173976547717623,0.316231539331268,0.338137337860905,0.374759597870693,0.301235498016569,0.135939175003022,0.271516092274263
"CEP78","CEP78","oligo3","brown",0.1273650754556,0.0483616615382909,0.124114461711309,0.136830576700146,0.123861213029163,0.0913575823674596,0.0351950020770897,0.0773690499235158
"PSAT1","PSAT1","grey","grey",0.150768959079296,0.131439344558156,0.123400510258283,0.116266644734083,0.134061502159703,0.130014727267915,0.104302892164589,0.146183331706793
"TLE4","TLE4","grey","grey",0.320879816336469,0.180020048868884,0.271242586016722,0.275503136681183,0.270312876374237,0.287540142761087,0.153640708523562,0.212978819444283
"FRMD3","FRMD3","grey","grey",0.0822809317592606,0.055622914976771,0.0729382035094066,0.0676453430535251,0.0742943930507446,0.0588189338792126,0.0528708829799591,0.0644030439508532
"IDNK","IDNK","oligo3","brown",0.0922922427177545,0.0435787659814129,0.086412402836599,0.101464296531298,0.0805723691074332,0.0447392277968139,0.0386503635051484,0.0556531951979874
"UBQLN1","UBQLN1","grey","grey",0.170545469740287,0.135017446497436,0.152613544739096,0.134212708092142,0.142062046990229,0.141231214003252,0.107234312561911,0.133295375585765
"GKAP1","GKAP1","grey","grey",0.133779801431108,0.0833703929830012,0.115716162653874,0.0978599581954733,0.0930975987678477,0.120515610888159,0.0706861312012538,0.0848251892241887
"KIF27","KIF27","grey","grey",0.135305155590055,0.0739106859612635,0.125363666957623,0.108374336078456,0.110334574715306,0.128759718123582,0.0542824765281318,0.0682221894593807
"HNRNPK","HNRNPK","oligo1","turquoise",0.15554486661143,0.174366752810619,0.136015916550463,0.12154480124173,0.129840916997208,0.123768361787205,0.123347113767459,0.114018315561041
"RMI1","RMI1","grey","grey",0.0840725090822426,0.0526615133336384,0.0810580384621107,0.0757868410278142,0.074719675006566,0.0537321927761878,0.031783296029984,0.0555448369339861
"NTRK2","NTRK2","oligo5","yellow",0.108783908531007,0.111016481154653,0.100555525785847,0.00368334496887411,0.0501710012679341,0.21923193411094,0.0914039480642201,0.0750380516906909
"AGTPBP1","AGTPBP1","oligo5","yellow",0.341053356324677,0.214964219448211,0.33009372882155,0.293305728837125,0.300270074943095,0.337075541774376,0.178989849752947,0.251828255328454
"NAA35","NAA35","grey","grey",0.189237487979171,0.105909657777018,0.182619519176156,0.17330166732685,0.16073226424491,0.141117020674997,0.0775467833980719,0.140575525474235
"GOLM1","GOLM1","oligo3","brown",0.0981054849936082,0.059023681723537,0.107425506809719,0.123953902261315,0.0983733658746515,0.0263881411344927,0.0465061709136743,0.0748486864980181
"C9orf153","C9orf153","oligo2","blue",0.0857125294858068,0.0439444121039542,0.10711937798518,0.0976378091618859,0.0789197015164601,0.0428890976953552,0.0386538670723543,0.0464214683477356
"ISCA1","ISCA1","grey","grey",0.0968791070610649,0.0860899213652876,0.0866136896998465,0.0801430646830598,0.067721581884495,0.0616369819275709,0.072393929305695,0.0694785405906495
"TUT7","TUT7","grey","grey",0.186767070466472,0.111873617358429,0.188008966823829,0.180360195332412,0.16232143298738,0.134307177598137,0.0638643734500005,0.137323859258313
"CTSL","CTSL","oligo1","turquoise",0.105990414437666,0.191310411509152,0.0688618565273212,0.0453992813597849,0.0594671555877897,0.0896134790535769,0.167924692362542,0.0863466893858125
"SPIN1","SPIN1","oligo3","brown",0.297648722852494,0.153617189220349,0.291140352176976,0.317766200612132,0.283516100902078,0.202341560587221,0.133322777648133,0.202014031019609
"SHC3","SHC3","grey","grey",0.06674770449308,0.0470488085017398,0.0707957954037133,0.054096774493148,0.0465243260771345,0.0561765061497437,0.0300583209639135,0.0497212629272663
"SECISBP2","SECISBP2","oligo2","blue",0.17510602405854,0.154677141037036,0.165770663950322,0.133458349878817,0.139894786631103,0.139874493734854,0.124358618084019,0.117876301280735
"SEMA4D","SEMA4D","oligo3","brown",0.361831046481326,0.21134991802355,0.329997629983131,0.383469389124635,0.365837602348884,0.244948373711881,0.150809885723339,0.262260588614966
"AL158071.4","AL158071.4","grey","grey",0.0757886629368741,0.0417446816284361,0.0650911361504187,0.0550957784657516,0.0558509373133577,0.0664262101500963,0.0337133293400491,0.050218433813862
"AUH","AUH","oligo2","blue",0.209961446135826,0.121989820592669,0.230430010169363,0.178775792655398,0.171526454942005,0.209995193936774,0.0960390322402958,0.133423346753135
"SPTLC1","SPTLC1","grey","grey",0.158473362431821,0.128389233940277,0.153575521356626,0.132553697222253,0.131180811518903,0.123221665035781,0.108383941819953,0.109279399898467
"IARS","IARS","grey","grey",0.151066026047873,0.104464415595101,0.131925220982702,0.120313164175871,0.118816580860421,0.0991755855574106,0.0876048794765947,0.11049292824817
"NOL8","NOL8","grey","grey",0.119974142200064,0.0818504794240029,0.11237619148222,0.096682522509187,0.0957259872907532,0.0910073442718365,0.0589262614192605,0.090215109204426
"CENPP","CENPP","grey","grey",0.129265503445575,0.0658617705481534,0.124514884432923,0.112374888132837,0.107986774268791,0.107512421717731,0.0468235659505381,0.0784482054211936
"IPPK","IPPK","oligo2","blue",0.109795774167268,0.0678060297967197,0.11187279802192,0.103820094490067,0.0990297312757096,0.0857187512195802,0.0479716491852049,0.0838835030209321
"BICD2","BICD2","oligo2","blue",0.112683089406121,0.112350952784234,0.120467479133347,0.109145817112109,0.104558382375609,0.0703341164530307,0.0605143925727202,0.0899437331634838
"ZNF484","ZNF484","grey","grey",0.111733271640265,0.0674973693378578,0.104953559505017,0.0989326064008909,0.0939292512440329,0.0838186556977257,0.0513256699938438,0.0782504956123686
"CARD19","CARD19","grey","grey",0.0642055234175116,0.0812231199243359,0.0536753802669042,0.063591438864754,0.071542956508627,0.0316017891007629,0.0529899652870379,0.06323805123397
"FAM120AOS","FAM120AOS","grey","grey",0.0688159289832988,0.0434791858274168,0.0584709030692961,0.059352478214042,0.0489595798982295,0.0441879204868341,0.02978954324148,0.039868825960403
"FAM120A","FAM120A","oligo2","blue",0.185380969217249,0.11027006814402,0.192277001681029,0.171056979389467,0.16836139469498,0.149074423460239,0.0876292640609225,0.12237136116907
"PHF2","PHF2","oligo2","blue",0.119687276881431,0.0537487955191894,0.135399135413855,0.122765073917559,0.111255092079328,0.0970226432367933,0.0321530658780075,0.0668476874980257
"PTPDC1","PTPDC1","oligo2","blue",0.174400834015478,0.114176868139173,0.18283989526345,0.170039424734403,0.168659398912958,0.138446385345365,0.101562557956256,0.125161423782787
"AL158152.2","AL158152.2","oligo2","blue",0.115135012468539,0.0627513626552198,0.120342221804177,0.102531284829369,0.0965245409887668,0.099084344226369,0.0462258403677707,0.0731090781388311
"ZNF169","ZNF169","grey","grey",0.101487287413572,0.0488250952232608,0.100330972112509,0.0956231339762863,0.0902395560860642,0.0833379038222133,0.0274316020115382,0.0688798463455951
"MFSD14B","MFSD14B","grey","grey",0.100138508826705,0.0758854830976722,0.0933683387058683,0.0843478950633715,0.0798797826869287,0.0720271146123187,0.059713179762537,0.0734385613441408
"C9orf3","C9orf3","grey","grey",0.414583527280792,0.22585435689373,0.371340435404019,0.353285434644038,0.359954427625758,0.384947405195723,0.193005149986178,0.294952356410899
"FANCC","FANCC","grey","grey",0.168561696581665,0.101991916668774,0.121481715712424,0.133102165228642,0.137401805335697,0.127844732508064,0.0717038547815595,0.135166242223189
"PTCH1","PTCH1","oligo5","yellow",0.108138095843701,0.073313011184122,0.0956997028631541,0.0781960234639547,0.0944433702220988,0.12105761698224,0.0630493868390884,0.0763526008968907
"LINC00476","LINC00476","grey","grey",0.171895372971327,0.0701595648391396,0.137132514256055,0.154839142552606,0.14676761644167,0.138398630194903,0.0804369280300919,0.129860291632902
