"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"ZNF644","ZNF644","oligo5","blue",0.286881330535315,0.32341972994159,0.225208674601982,0.147588672790214,0.171303300874113,0.291988355693458,0.21450592794746,0.21000948406022,0.186497865605328
"BTBD8","BTBD8","oligo1","turquoise",0.295192346837675,0.264251766619028,0.194466181352928,0.0927899932829735,0.096561796096966,0.171188843193599,0.171473191613094,0.140119122031059,0.110308710794604
"GLMN","GLMN","oligo5","blue",0.0819812288618872,0.093016628904279,0.0682118995718251,0.0533870972529389,0.0591583358456346,0.0927009979183645,0.0557023664569334,0.0616370980456054,0.0334146060937204
"RPAP2","RPAP2","grey","grey",0.236471046822612,0.245678457604983,0.151418612249331,0.0783259597657979,0.104117545571593,0.187176773146546,0.159241256053763,0.144123083415495,0.113728536483815
"EVI5","EVI5","grey","grey",0.276229955527243,0.287768563651584,0.187476481137901,0.100207684410736,0.152009654142815,0.222687491002933,0.182182801829837,0.16467303184808,0.147973262806407
"RPL5","RPL5","oligo3","yellow",0.0913050672463762,0.123226853642073,0.157863577609062,0.146918237734043,0.0777618925961849,0.106042186245709,0.0357701422121109,0.0473958031071899,0.0254206554832933
"FAM69A","FAM69A","grey","grey",0.280465179572598,0.288584391970627,0.170343546462739,0.0992266798277424,0.121674533554563,0.229000994105813,0.21978590971834,0.200019558992484,0.179966216886992
"MTF2","MTF2","grey","grey",0.12914321427892,0.152326615257128,0.107665827842755,0.0729467288186533,0.0649167010045487,0.12597552403769,0.0897332334734651,0.0815378887632329,0.0766928370512376
"TMED5","TMED5","grey","grey",0.102024849858377,0.142109973626225,0.165224942069427,0.138951787672431,0.11575171167494,0.124334178978604,0.0366937865658791,0.0439350585808412,0.0110949657275557
"CCDC18","CCDC18","grey","grey",0.0785607042957962,0.0977451319978234,0.080730479684385,0.0572337604639502,0.0508061347968045,0.0802342938206301,0.0454472887717493,0.0425893845801458,0.0243637034332828
"DR1","DR1","grey","grey",0.0733399934680088,0.0816408609018341,0.0789733921090464,0.0537326234512746,0.0361226029153846,0.0607264370155868,0.0484943452229283,0.0431488740339006,0.0366063733193836
"ABCD3","ABCD3","grey","grey",0.195346908041441,0.190393930123122,0.147484562063579,0.0840851980758572,0.0767611484395646,0.1350233977014,0.125895882500033,0.103960082981769,0.0910122372056681
"CNN3","CNN3","grey","grey",0.106507932933894,0.112726465552789,0.0918134391575673,0.0587372778886178,0.0636338029955659,0.0886001382727238,0.0630240471710875,0.0638316381121185,0.0451433330199726
