"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"LATS1","LATS1","grey","grey",0.216411447138442,0.236055195765649,0.22223517827534,0.131421997982451,0.16520974360042,0.201892774030811,0.215920997741837,0.201489223574298,0.195894028176387,0.152434603052639,0.0259464096130516
"NUP43","NUP43","grey","grey",0.109023266565698,0.1230750483999,0.117178695011867,0.0834471157372608,0.0951141088654657,0.10077937855157,0.11360723269995,0.102765911443626,0.103073441035549,0.0788983938250954,0.00686431851859375
"PCMT1","PCMT1","oligo3","turquoise",0.214218374548266,0.231885333716616,0.196072669990691,0.232398606529483,0.225534204219254,0.223951826772596,0.167303500471843,0.155172014763124,0.19257037310354,0.181622922033017,0.0287105339514604
"LRP11","LRP11","grey","grey",0.186904776722062,0.182829613250156,0.147101109455084,0.110008087781581,0.145822477593742,0.151821529821519,0.16877509054455,0.172429948643319,0.131365197166235,0.0872304633083544,0.0377859238274769
"PLEKHG1","PLEKHG1","oligo9","purple",0.333669364621904,0.376112646964897,0.3768494295862,0.257485634983454,0.252588634825956,0.416303798271769,0.319374611094984,0.23481789287776,0.427671646119824,0.453744757338983,0.023046476670656
"MTHFD1L","MTHFD1L","oligo8","pink",0.224708687178598,0.252856072115185,0.263112079835495,0.145667088938637,0.144696797178793,0.252199447858545,0.223661391393746,0.169741109007674,0.311679255494919,0.240486091593477,0.0222200417570681
"ZBTB2","ZBTB2","oligo1","blue",0.115654521092153,0.11147741321324,0.0956116281185535,0.0573234516159271,0.0869512853647355,0.0954510013590836,0.10372611402735,0.103690878183433,0.0762373119464802,0.0727561756979275,0.0169505864345486
"RMND1","RMND1","grey","grey",0.134264597460366,0.155966099775821,0.133570444686614,0.141069681572611,0.131370134641974,0.151166750886983,0.11253208399159,0.0954608034501983,0.133823805058888,0.123810256927856,0.0161444957710047
"SYNE1","SYNE1","grey","grey",0.251644419557679,0.258147784162043,0.230470900896955,0.131865874319909,0.181747146689222,0.250818151196717,0.221276380128916,0.202553959584821,0.224958928541445,0.216976442699679,0.0724212392366291
"AL080276.2","AL080276.2","grey","grey",0.112706768641927,0.121604589835784,0.104447622835582,0.102247436142329,0.107614297214663,0.109554629602546,0.101293974848225,0.0865201821295186,0.100805005760106,0.0843776142882953,0.0181846595458256
"MTRF1L","MTRF1L","oligo3","turquoise",0.107463035471553,0.126223898510091,0.108702513040633,0.140179228628681,0.117920294078195,0.110416304647925,0.0986084394148718,0.0865986050354711,0.093768999258024,0.0846117391462022,0.0109451140671952
"IPCEF1","IPCEF1","grey","grey",0.034292578610221,0.0381047672569857,0.0449763953364548,0.00559000817239042,0.0132833545003561,0.0196367878388617,0.0532288369138537,0.050148121776578,0.0365018957408856,0.00503773279775162,0.0434072977799366
"CNKSR3","CNKSR3","oligo6","black",0.263229783018164,0.254283514186498,0.248120695893103,0.0940431649138435,0.175332041295585,0.163048871128879,0.311425173684567,0.311190482420099,0.178944204637834,0.0515149898856573,0.0409150000856226
"SCAF8","SCAF8","oligo1","blue",0.337762812949218,0.326872466741401,0.278158774146875,0.18326006945744,0.259313205362437,0.283686430568488,0.301889852811429,0.302975230492333,0.267588533054054,0.190158656147221,0.0691708909493997
"TIAM2","TIAM2","oligo1","blue",0.29915452023868,0.249933038191933,0.195065557260155,0.0810146516155288,0.199772692888717,0.243375069482384,0.235034384410304,0.244509479927207,0.200405048105332,0.158446583729669,0.0659322109217729
"TFB1M","TFB1M","grey","grey",0.205785838835797,0.21108257564624,0.17916629954797,0.145592693389902,0.170685107412521,0.184441502744509,0.180964390628617,0.181871346736675,0.166714990898144,0.122340702046672,0.0312438451923522
"ARID1B","ARID1B","oligo1","blue",0.544860418025025,0.516036133109523,0.443341040856358,0.286151721568935,0.416149493105084,0.48981874491437,0.469374926098596,0.464791594422978,0.444192401431003,0.349454753838462,0.0911388364895258
"TMEM242","TMEM242","grey","grey",0.161353222637995,0.167866736968197,0.12449585853988,0.150214576570832,0.161121405939633,0.160669763131494,0.125082383135996,0.122456483884444,0.1244430097213,0.124036790219662,0.0139606702975277
"ZDHHC14","ZDHHC14","oligo5","brown",0.471628070854577,0.474987376318395,0.420123495478028,0.29470118669799,0.368176667386368,0.49917674199992,0.413249263382901,0.369275116041103,0.455848139734141,0.397611471848769,0.0587372628224155
"SNX9","SNX9","oligo1","blue",0.425953694948225,0.403899539225268,0.33760445729502,0.224822261889098,0.323913721318347,0.379048536160794,0.35388202182618,0.356986303835437,0.326720932652208,0.262045767845593,0.033476942585801
"SYNJ2","SYNJ2","oligo9","purple",0.545337963470553,0.566211731255523,0.511925937191573,0.426137976148643,0.463223476451051,0.586182931096368,0.465027758761948,0.410221032895788,0.544043081635963,0.54335665826124,0.0691054630116392
"SERAC1","SERAC1","grey","grey",0.19857228973551,0.207468330977505,0.191270605827165,0.129804838388244,0.155114585402111,0.180746752929161,0.195140038360682,0.178278312951077,0.18776841704063,0.134502740446474,0.0242318890351244
"GTF2H5","GTF2H5","grey","grey",0.0942140941472723,0.116416601356664,0.0916748339509416,0.147627331800681,0.125953461054648,0.10870869125645,0.0683369363341583,0.0635610088034707,0.0863539201012018,0.0933234023481534,0.0304477454106252
"TULP4","TULP4","oligo6","black",0.399447659290309,0.405725183775107,0.395017348708222,0.201975251534506,0.313725051445335,0.31106865621998,0.454531640961751,0.441635172146353,0.335592885763517,0.172862865903225,0.0693668653778812
"TMEM181","TMEM181","oligo1","blue",0.248628549114901,0.23111842247556,0.189715663385139,0.121483316475328,0.198738991304152,0.196290362968327,0.21848833250619,0.230408620931513,0.178396200972474,0.117054439458308,0.0509000420333248
"DYNLT1","DYNLT1","oligo3","turquoise",0.13564289145513,0.158551190122399,0.119256433243919,0.216100518100251,0.176438127941999,0.167938060556749,0.088279955574012,0.0770760490039635,0.129278316264697,0.132383825199123,0.0369204199742912
"AL035530.2","AL035530.2","grey","grey",0.158071075302099,0.156790782239717,0.129578222842852,0.0751881781632644,0.11736420898646,0.142931474103131,0.138010032471401,0.13528614964417,0.136784734155894,0.108561053752792,0.0276763471599488
"SOD2.1","SOD2.1","oligo3","turquoise",0.0494547834535891,0.0775139846642099,0.0736044858450104,0.156309569462397,0.0981204252364441,0.075290903693654,0.0356179893717479,0.0209578121032974,0.064284911445088,0.0701915516832486,0.0135225170705375
"WTAP","WTAP","grey","grey",0.21900208871994,0.232480267370196,0.201168701442097,0.17574512629367,0.197919299201804,0.200558664146419,0.193816439961372,0.191590002733845,0.179316334122348,0.135985021910501,0.037009315770069
"ACAT2","ACAT2","oligo5","brown",0.195116519406612,0.200675184657515,0.154422976756958,0.186963341424734,0.185259258375761,0.220262134871963,0.138436666070254,0.140256750476191,0.159280988035151,0.147542358644804,0.0253662901410071
"TCP1","TCP1","oligo3","turquoise",0.142700217934939,0.154649609244782,0.121783416417197,0.180470296990263,0.167638833245426,0.148121021662593,0.10165690605155,0.103417462128148,0.111195613924012,0.113987539544033,0.0354584926178817
"MRPL18","MRPL18","oligo3","turquoise",0.0743566059759573,0.0918574012738923,0.0717165744889065,0.138083658242809,0.110384336764276,0.0865145144207546,0.0496520742418619,0.0485039499637567,0.0688759246068175,0.0685748590013206,0.0261940884159522
"IGF2R","IGF2R","oligo1","blue",0.264986949941583,0.251592961169754,0.205269673267787,0.145857417478433,0.203432018223823,0.232006706621111,0.217072239111832,0.22127237952689,0.204017481777762,0.161700220824767,0.0468669549001442
"MAP3K4","MAP3K4","oligo1","blue",0.264893586546761,0.245580692818648,0.20113344492498,0.129271607035034,0.200986816864574,0.22126077626127,0.226484966343211,0.237320312673186,0.189930206639731,0.13792224597487,0.0378750657092848
"AGPAT4","AGPAT4","oligo8","pink",0.492976294431018,0.525582948471724,0.518329094566123,0.334733653186825,0.375420610725569,0.546538781272347,0.471333891206203,0.388459042733273,0.601764487249722,0.48777889105197,0.067692807560875
"PRKN","PRKN","oligo1","blue",0.456351799886865,0.434894619300693,0.382858783206342,0.223235989259496,0.328564915115004,0.398838996562315,0.409320246366197,0.406499169285254,0.372923905759234,0.285286061649111,0.0737578120724961
"PACRG","PACRG","oligo3","turquoise",0.104228684200402,0.121731415150831,0.0870036221747839,0.163602915458879,0.139267400415115,0.117844214733171,0.0763558438139234,0.0728727584809905,0.0926939897677172,0.0981406830496178,0.0126359153790025
"PACRG-AS3","PACRG-AS3","oligo4","red",0.136398921538728,0.114856356557197,0.0580327623752545,0.110860273610652,0.170330086975483,0.15146948081034,0.0709659253273006,0.0820505348122926,0.110325890814731,0.114965226327449,0.042135506089587
"PACRG-AS1","PACRG-AS1","grey","grey",0.106212220191182,0.0960577990020319,0.0798369449730598,0.0387172255372499,0.0814749473303422,0.0603430253235186,0.11345402003214,0.12685909185023,0.0630306035688415,0.016991881041415,0.014238957587167
"CAHM","CAHM","oligo3","turquoise",0.0771400929629219,0.102182673178597,0.0617795781037402,0.206208107944781,0.154982859175515,0.101002077307026,0.0401572575830738,0.0399623659184809,0.0721413749851029,0.0859242778701994,0.0150556800823525
"QKI","QKI","oligo5","brown",0.692464305034961,0.663844955128042,0.598929850717821,0.39713501730715,0.543503912785917,0.651585951105035,0.627766806356129,0.601338836035559,0.620382990598036,0.476613465949117,0.102420187208155
"PDE10A","PDE10A","oligo7","yellow",0.163170643458359,0.143508323322247,0.129526033497483,0.0285864617300791,0.0970020468840096,0.0825453994137778,0.189852891490557,0.224891887704965,0.115706102414757,-0.00118150499537137,0.0151494272446796
"PRR18","PRR18","oligo3","turquoise",0.153201160288889,0.177766759345482,0.172918260777212,0.19523441886872,0.180649912335371,0.133766715974618,0.160857414952047,0.161925070929671,0.128465783924623,0.07688607817244,0.0229063806290357
"SFT2D1","SFT2D1","oligo3","turquoise",0.195024241745145,0.215955346198864,0.187648313870261,0.253872501794255,0.218675694367472,0.210718994318769,0.161105148231894,0.15069103779093,0.168258039644415,0.166168830441002,0.0252518894999026
"MPC1","MPC1","oligo3","turquoise",0.313248125149114,0.326568297109415,0.249167207231495,0.368264861663986,0.34989264505332,0.35082141525187,0.21579983751783,0.204904852683575,0.26803810905656,0.268783967866323,0.0475915408391885
"RPS6KA2","RPS6KA2","oligo1","blue",0.484493709691163,0.47425498841848,0.405664222755531,0.267829754082516,0.350279668878045,0.473228238779068,0.394303949259479,0.370489382013718,0.412498375084953,0.371861638053306,0.0629076701459509
"Z94721.1","Z94721.1","grey","grey",0.0775470379547978,0.0932758493567764,0.102047313838399,0.0480444780534519,0.0520682429540268,0.0709869451174445,0.0946988678477485,0.0802485894379714,0.0817355891245724,0.055206800271092,0.021999422834092
"FGFR1OP","FGFR1OP","grey","grey",0.11011265154499,0.129903767272256,0.127326733489864,0.0849204316003958,0.0896499072414753,0.103139903048625,0.118235118656651,0.104362073146578,0.105433570803054,0.0762491636401279,0.00358172297274973
"AFDN","AFDN","oligo1","blue",0.527749659878847,0.478834519131934,0.392470412205821,0.265523340779859,0.403309536508583,0.468558900064189,0.422631774440687,0.43513376100287,0.410478463131115,0.322737562729333,0.0839574619662049
"BX322234.1","BX322234.1","grey","grey",0.0657322656612,0.0736954517706926,0.0596672452214228,0.0668985429214799,0.0626637934073888,0.0666065064962645,0.0563492143224047,0.0504444073354975,0.0639955646410583,0.0622146792768572,0.0154875304550933
"THBS2","THBS2","oligo2","green",0.0733087649221489,0.0920021072712204,0.107652373131679,0.0971114625819833,0.0909488159083202,0.0509421842542542,0.087718032819918,0.0968941817408788,0.0575338315213987,0.0149701325635707,0.00845927005466176
"WDR27","WDR27","grey","grey",0.22579818510555,0.224709347977572,0.19363317990813,0.130852004840852,0.169291494847858,0.207771782505627,0.195641089947001,0.188507252919935,0.196094265349723,0.146445234048687,0.0368515110639535
"PHF10","PHF10","oligo1","blue",0.198039849691673,0.186503775217962,0.147116699965266,0.132447938538974,0.180945188821856,0.172215384400123,0.151049248412066,0.160666235269796,0.137271028642841,0.11135774136003,0.0184198014498867
