"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13"
"TMEM179B","TMEM179B","grey","grey",0.0892083456423517,0.0393715658849171,0.135021685603477,0.0703883146601123,0.0533695193413363,0.0348037795565382,0.0312404114650381,0.0510988545452316,0.0966355414754431,0.0452361043443355,0.128461545775826,0.11064574165293,0.0138535029866833,0.0374272210548254
"NXF1","NXF1","grey","grey",0.050487276826564,0.0531096116972592,0.0763452357787858,0.0556524988699563,0.00313939335045886,0.0288999996306184,0.026253457413327,0.0474983071032509,0.0742687160091111,0.013988229920288,0.021753796096074,0.0388765546557333,0.007134311183881,0.0292561968555477
"STX5","STX5","grey","grey",0.106484260760911,0.082618960794651,0.0373977167069972,0.0984055912877348,0.08072561470088,0.10538995028993,0.102985093072672,0.0990827588101156,0.0566527740401952,0.102258504527839,0.0684815796215787,0.050248887906001,0.0232095561074369,0.082416891556821
"SLC3A2","SLC3A2","oligo2","brown",0.0837631300939006,0.023599435912692,0.239785366767741,0.119677789072005,0.0137442266144653,0.0104217402479207,-0.0352225628499011,0.0251469593624076,0.112257066044246,-0.0312534726849019,0.0659550575587716,0.132032509757238,-0.0172370690218222,-0.0159163628398149
"PLA2G16","PLA2G16","oligo3","blue",0.379484099113068,0.26735074967153,0.325383130660022,0.380944321126044,0.261920847415357,0.299281742987109,0.292478096084333,0.300696408139246,0.290306794073657,0.288492724615498,0.334988598868765,0.271462709071769,0.023380649636159,0.255494140280122
"ATL3","ATL3","grey","grey",0.161291432569994,0.114566266884313,0.129047072694955,0.144185112470476,0.108339653331274,0.115451537097065,0.117869246358664,0.139152773377132,0.133731620054114,0.124210492606586,0.125416128732327,0.133221294981363,0.0257401227582464,0.104114674322284
"RTN3","RTN3","oligo8","greenyellow",0.306334278398433,0.223208917143342,0.334331315150237,0.243365390276083,0.185219604869221,0.208098508280807,0.23176563888014,0.336212069133823,0.434113669121344,0.260936074508771,0.22216269187561,0.323019963261525,0.0557671511108301,0.182395266781129
"SPINDOC","SPINDOC","oligo3","blue",0.0677341829799786,0.0474809366443176,0.0434130781332368,0.128319826597989,0.0419280280254235,0.0838436193381046,0.0501962069685414,0.0381994532231218,0.0262439609605836,0.0387113666905947,0.0199567580499139,0.0317087827195677,0.00536143856787403,0.0400022831726445
"MARK2","MARK2","grey","grey",0.216408387557447,0.129667480281631,0.0529416158997187,0.197233247741862,0.204575091143357,0.230916338551684,0.207025596998938,0.201498614440679,0.093169378609223,0.232727509163055,0.13085644038551,0.123866121456516,0.0202288467941465,0.149284294683699
"OTUB1","OTUB1","grey","grey",0.0897603714954389,0.0386300802714247,0.0882928971984572,0.0668620683016506,0.0743645446010976,0.064069702942877,0.0579112722802438,0.0715796293554815,0.0785328287866997,0.0751380398121736,0.0819392678959983,0.0948323203850343,0.0141552220045967,0.0470721388985609
"MACROD1","MACROD1","grey","grey",0.116074357355315,0.0969599781637967,0.00772674562147089,0.110092324115211,0.0942378769957423,0.1265018427006,0.131185126868261,0.100317713371867,0.0360456907055114,0.125725190021073,0.0886851502328179,0.029046307876689,0.0181573258290057,0.110926442363027
"AP000721.2","AP000721.2","oligo6","pink",0.0815364000187502,0.10440041999749,0.000326660233194043,0.0749156691003236,0.0416897111403,0.101050718266943,0.138539510289442,0.109662290899462,0.0538709291646424,0.10354591624866,0.0442665017681941,0.00773808857846161,0.00412141663504393,0.0982927004862794
"STIP1","STIP1","oligo3","blue",0.210257714858648,0.209326604390639,0.189610810728441,0.33658506967596,0.0826583413413018,0.212979424870622,0.173787911211093,0.153857205189896,0.16734855363005,0.107078824093771,0.108838916003375,0.103522724532766,0.0111355871217172,0.131882048864856
"FERMT3","FERMT3","oligo3","blue",0.0332552614411774,0.0416211729382219,-0.000258143415181289,0.121032308914322,0.00499848897929768,0.0748085407837696,0.0365527629150185,0.0119401318309309,0.00416152880314731,0.00104584435581254,-0.019137926520407,-0.0157510550509739,-0.00177785555009529,0.0253986048916893
"VEGFB","VEGFB","grey","grey",0.0875255550561703,0.0372418608901441,0.157626426454313,0.054998381251124,0.0549878534946794,0.0345134092692263,0.0387320700220954,0.087538840666562,0.13866136546429,0.0612319848605194,0.0740770571749498,0.140754144734918,0.021027731446207,0.0211165021767637
"FKBP2","FKBP2","oligo2","brown",0.0732204514766374,0.0382776765909648,0.176243469638174,0.0657488270965454,0.0253705999431072,0.020788006261662,0.0199875715598567,0.0526709640858315,0.11551002316643,0.0231223091870892,0.0753562785123148,0.117143503799679,0.00529701627257957,0.0172925609804898
"BAD","BAD","grey","grey",0.0616585620516997,0.0204853338984071,0.132045889511144,0.0572885398141343,0.0431689880067413,0.0277229635604931,0.0136771647671715,0.0345278369948821,0.0772209130537769,0.0241552886011484,0.0621106292767237,0.105140671323526,0.0166114147601773,0.0111757511038465
