"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"ACAT1","ACAT1","grey","grey",0.128606031538309,0.0934450191064225,0.0827937778606058,0.112835160961733,0.113308137564777,0.102407813405935,0.0914930655618062,0.116385806667489,0.0789260922349177,0.110755729175675,0.0891233200581339
"NPAT","NPAT","grey","grey",0.150031894802675,0.0835102021639431,0.0708375020033225,0.134165492926731,0.146246906157942,0.121449340763276,0.0893645433591582,0.142512835321837,0.0617248293352616,0.1378352721169,0.104368352279347
"ATM","ATM","oligo3","brown",0.384457973414624,0.19192164612911,0.163572155864706,0.379990049829676,0.374162112176128,0.330033630765722,0.217871290600086,0.36869887317065,0.189065232823975,0.360466540493465,0.303920640219661
"C11orf65","C11orf65","oligo8","green",0.12315767145145,0.0680470157396845,0.0797591167513537,0.111959759062323,0.115358239788935,0.126649695980055,0.0534084807611645,0.0975031397104308,0.1402804184722,0.108923403783902,0.104806824242291
"DDX10","DDX10","grey","grey",0.17998471902402,0.0844105254459018,0.0632028104696722,0.155998397530618,0.178589238451829,0.146663581675382,0.10168305890472,0.175062982466271,0.059277576373351,0.165050162026263,0.12515104765648
"RDX","RDX","oligo1","turquoise",0.368446488577423,0.314673689456136,0.241618339646565,0.30087919979628,0.346362074184425,0.285137071662949,0.293929288030803,0.353090135303375,0.17513409802577,0.319159150688599,0.22464269066916
"ZC3H12C","ZC3H12C","grey","grey",0.203720328864405,0.108729940035405,0.0862718516210045,0.169135462479748,0.19974805515221,0.166071493689505,0.126055184194446,0.190211432090981,0.0781528212176924,0.180554618813318,0.132193505816278
"FDX1","FDX1","grey","grey",0.113971034486784,0.0851406677800726,0.0658483432278648,0.0895466130638134,0.101683690427104,0.0795267297592609,0.0888863686374903,0.109870174115228,0.0445243086912224,0.0934123823363302,0.0607913709158241
"LAYN","LAYN","grey","grey",0.150081541353198,0.128048495020547,0.117507044237006,0.120870631516532,0.141643164878894,0.122722164821206,0.114076017140039,0.136140605597916,0.0877638132092984,0.128053999146435,0.0894110937208739
"SIK2","SIK2","grey","grey",0.330813173376017,0.163333242114902,0.121674701656027,0.265186300456995,0.327678023103867,0.261666000746581,0.210590685203377,0.332938907747952,0.112864510428287,0.298457069673828,0.205635851197125
"PPP2R1B","PPP2R1B","grey","grey",0.216816949722545,0.11663747611561,0.0848231642140774,0.182381979293999,0.211989961439412,0.172343296860525,0.141668944214297,0.214737495274427,0.0693352800669877,0.193231160656282,0.139904903190079
"CRYAB","CRYAB","oligo1","turquoise",0.25567247874398,0.519272008869501,0.42361098526349,0.171488689028303,0.15790599532797,0.107258947941846,0.366087930190336,0.21282708601806,0.22896945732639,0.167871829946928,0.0833760071450591
"DIXDC1","DIXDC1","grey","grey",0.349509840802278,0.171132762700779,0.140863634050107,0.32340067715648,0.343837970617854,0.311437844340053,0.208966660340483,0.331588283787596,0.147646504793148,0.325352472909068,0.277348941757775
"DLAT","DLAT","grey","grey",0.114589631037528,0.0625743714155176,0.048457674284497,0.107735862118902,0.112780527874515,0.0934023660695736,0.0707285293262319,0.110774557570946,0.0415815527098082,0.107918890845186,0.0878342963994569
"TIMM8B","TIMM8B","grey","grey",0.067525736143137,0.0837629041174695,0.0758758793289843,0.0560056064752594,0.0492578280229792,0.046737312489465,0.0593097783506777,0.0508876744159653,0.0576729805479448,0.0508770212838073,0.0410405895049428
"BCO2","BCO2","grey","grey",0.160801025665355,0.101327097237361,0.0814993121152047,0.151681026353234,0.146730718500422,0.117991833833322,0.0974516151763833,0.153339174039505,0.0843078079238841,0.153183896489535,0.124518853659857
"PTS","PTS","oligo8","green",0.132421529232683,0.0876589616562276,0.100556636692366,0.119633770782426,0.120425014771494,0.147669537482428,0.0678787581734514,0.0967882692310302,0.139474969014934,0.110171941536955,0.117425257801753
"AP002884.1","AP002884.1","grey","grey",0.100225094926214,0.0302177829514142,0.0312939472113444,0.101632725149781,0.103269968776572,0.114803618295204,0.0439070269327199,0.0892171958406896,0.0605381784453809,0.0927244266885226,0.0971278652959656
"NCAM1","NCAM1","oligo7","pink",0.642904695970005,0.313345208893226,0.232510405532477,0.557868181352807,0.647959157507056,0.509951097960795,0.41566843588635,0.68457848906731,0.20293839141353,0.605085160643237,0.435131620968725
"TTC12","TTC12","grey","grey",0.0876944283239415,0.036960206063507,0.0368315305606341,0.0718232034000015,0.0858463252873127,0.0913073116224151,0.0456862411657938,0.0758837537844531,0.0456954400718817,0.076057989310237,0.0715801347662309
"TMPRSS5","TMPRSS5","grey","grey",0.109535542382549,0.0649505774727169,0.0573609904276216,0.0793593069103542,0.0990387095260248,0.100245041956751,0.0759695411350957,0.111766816876033,0.0637029263714011,0.0829295852448205,0.0656971474375783
"ZW10","ZW10","grey","grey",0.10642956243236,0.0500559694358708,0.0457336301677551,0.0883191537568622,0.104952692782971,0.0984929596466527,0.0496163999207692,0.0942370334145774,0.0481688790307267,0.0941002042371516,0.0747788557679769
"USP28","USP28","grey","grey",0.129406334978866,0.0725640448527718,0.0638008839878173,0.106606770596342,0.119454487930914,0.102023560844278,0.0795447131368486,0.117689046079661,0.06492699633824,0.109929537358166,0.0866858955064658
"ZBTB16","ZBTB16","oligo7","pink",0.414086335955247,0.174417818755195,0.121332224009368,0.359241867668605,0.424487353447903,0.322488688281234,0.265260652888579,0.463394585883167,0.110975304649751,0.392398920650365,0.275832167580422
"AP002518.2","AP002518.2","grey","grey",0.0687500644613853,0.0611984000362863,0.060183249392985,0.0567063344109882,0.0560701744843991,0.0515219333688026,0.0508523631278369,0.0613186084940386,0.0821313376255862,0.0536212874672538,0.0468788687464772
"C11orf71","C11orf71","grey","grey",0.0859218224121485,0.0900903083266579,0.0797867078459472,0.0667330288043477,0.0764237387717956,0.0653009466520576,0.0712778343451834,0.081594814022241,0.0636358190417499,0.0660322086711075,0.0485724426881037
"REXO2","REXO2","grey","grey",0.102113557516846,0.0993313385194107,0.0862687179195373,0.0643769547908892,0.0899492421358182,0.063370706948266,0.0920597417251541,0.0982506744506449,0.0575324706011779,0.0787093497230056,0.0405744373819095
"CADM1","CADM1","oligo7","pink",0.47896333185602,0.232861422481669,0.177931297626085,0.428015439514364,0.485147616915048,0.385432593932466,0.300054180708872,0.511377157884141,0.1540467761702,0.463859441179782,0.337186850379509
"AP000462.1","AP000462.1","oligo2","red",0.0583954284549869,0.107002387623529,0.142340824945025,0.0430739486638253,0.0295563681246017,0.0429592645596458,0.0533473920046887,0.0406032828150837,0.138337312294966,0.0394268278881198,0.0395770771955183
"APOA1-AS","APOA1-AS","oligo8","green",0.04776264058045,0.0753636735838314,0.0913855364939874,0.0211485362986992,0.0319281617676528,0.061005046181179,0.0283904811594505,0.0170446846595828,0.159157520512331,0.0149209676766701,0.0227929348149365
"SIK3","SIK3","grey","grey",0.580087958245652,0.24579148022218,0.202504058210837,0.452949897883096,0.610974487980309,0.558927557195885,0.31385642196629,0.543333173374061,0.202123244274287,0.507079100731872,0.384665161244091
"PAFAH1B2","PAFAH1B2","grey","grey",0.226513658105189,0.167487515190929,0.138974739694399,0.208355851115133,0.206537319213956,0.191553533600051,0.164348087566197,0.199584533066087,0.108528202877415,0.203941276755964,0.174331222744092
"SIDT2","SIDT2","grey","grey",0.148336886634245,0.0700110170013571,0.0709941085403898,0.164393877698592,0.1413879163902,0.141726778384396,0.074425646658506,0.124530540844744,0.0792301563385076,0.150044240994445,0.150338538446333
"PCSK7","PCSK7","grey","grey",0.204772115269517,0.0831524531458506,0.0726165816032716,0.194316128437154,0.199378140939455,0.20336568699693,0.0985126597600585,0.178598214625026,0.0859382748047457,0.192575430629162,0.176377018593626
"RNF214","RNF214","grey","grey",0.135326099372034,0.0829559800035453,0.0751620676874996,0.116747442142554,0.12741246086883,0.119574289998275,0.0810576907976438,0.118329960707946,0.0846537124592182,0.116833461845269,0.0986176845385433
"BACE1","BACE1","oligo3","brown",0.282121516692881,0.206287793622337,0.184399387990457,0.302543481613089,0.264643118506993,0.266177579150577,0.188466682120688,0.236938098416878,0.156339847449859,0.269976956310667,0.251231793637124
