"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15","kME_micro16","kME_micro17","kME_micro18","kME_micro19","kME_micro20","kME_micro21","kME_micro22","kME_micro23","kME_micro24","kME_micro25","kME_micro26","kME_micro27"
"CADPS2","micro12","green",0.189680657062093,0.144303668800045,0.171380079933298,0.093879786799468,0.122299913549867,0.124432409412432,0.147011600676242,0.19076328119419,0.156216534373711,0.144770611763363,0.186256251471885,0.115500615499936,0.197593648325627,0.108898912036112,0.125709757844839,0.0986509135957545,0.0868612138755872,0.105075867698074,0.126816215918169,0.10872752901514,0.141430956967289,0.106145721402174,0.0868205169615844,0.164149968347587,0.0961435470101413,0.146599600381268,0.0677364864731558,0.117947752528269
"SND1","micro14","midnightblue",0.325949414220775,0.303650285565637,0.28151075649963,0.230181640391017,0.238355560045373,0.215412945153797,0.280949331443897,0.314298620029925,0.280200027886209,0.267165190730391,0.275554850239285,0.2726544338,0.281442159082052,0.211505108470112,0.370586139770299,0.19612486797195,0.257174474993928,0.236733714627493,0.17784595856931,0.259474032550953,0.269883322557228,0.241456808310691,0.232417256943831,0.273919677369447,0.245557895464974,0.237928086783741,0.118847926758544,0.204556426740409
"LRRC4","micro1","turquoise",0.0730827231470761,0.0724627840027794,0.051377825444377,0.0361926480406589,0.0344793022018348,0.0577846656065116,0.0281390212936748,0.0777577071681659,0.0459940441634366,0.0522679064531294,0.0487195904916387,0.0376795504629822,0.0519259549117533,0.0439937859711265,0.0605895245882298,0.0534526640125557,0.0550207737463592,0.0319293990194849,0.0900027325822632,0.0605433387237754,0.0582401636031908,0.0522718970087463,0.0596349471891702,0.0624608908478705,0.0326243357194558,0.0289898301546526,0.0328571172363347,0.0316437568385688
"RBM28","micro1","turquoise",0.123746315365112,0.1137638250945,0.0971833140906242,0.129377285026727,0.0768092391532818,0.0675448028910448,0.122788554735604,0.113975173244874,0.128418830840357,0.105782088844858,0.109667168760268,0.12135726629383,0.104069736366767,0.08538543121507,0.125033981995893,0.102071397084758,0.0746258674799687,0.0842984265149116,0.0595561930646353,0.0948112649970734,0.0968991611763428,0.0890565342460252,0.124349655214611,0.113675130558909,0.112373505593986,0.0942630120441805,0.0838555579709856,0.0936966977956921
"METTL2B","micro4","lightcyan",0.159319291745081,0.146560758280092,0.13593641931713,0.145235145000147,0.185003863490905,0.131529836056583,0.137901526375639,0.14712845285314,0.139822488075381,0.155340924336598,0.139275312538894,0.127459073789614,0.127744733286493,0.13271405151935,0.111164160942353,0.110979458225805,0.103682155512401,0.111343666768695,0.0676841424304721,0.103840728390803,0.132648614915386,0.0912332110605946,0.114547319014251,0.133102374733077,0.107738182669857,0.127876908860611,0.0406129789563883,0.100465471235308
"CALU","micro1","turquoise",0.122253179779433,0.142667743670301,0.0930749222170107,0.0830502191429819,0.100429739997256,0.094604690902623,0.119243937229822,0.107908256275544,0.136907882133471,0.10279873238288,0.10531422079854,0.0998714059469538,0.0979228163224469,0.137735771231838,0.10391157138709,0.115284029654909,0.130001309783341,0.107103015635654,0.124933953859234,0.115825736475548,0.0962164730531591,0.122304261256787,0.128154860055304,0.118423298825365,0.12613642211421,0.0874808443986689,0.0217415877141873,0.100740890642666
"CCDC136","micro9","magenta",0.122569628232111,0.111998799767062,0.103057413105098,0.106916437353792,0.0835145268911552,0.0798401458458834,0.104659307115625,0.109493795073698,0.106016954998043,0.153638475829944,0.128134056222016,0.110755736544391,0.0965908152677479,0.100002773559157,0.114229128194121,0.0959913253138488,0.0624795731123947,0.0823343274410929,0.0945361182046062,0.108032739364435,0.0964844573366834,0.0919803427452989,0.111259201379529,0.112095653856041,0.126296948868117,0.12095817966353,0.045939171421486,0.10147325492567
"UBE2H","micro1","turquoise",0.242852654543629,0.21129145686196,0.23734653218017,0.141012864502953,0.1334379803741,0.137087994488062,0.237843482694043,0.221552360649295,0.208157915300764,0.211769758130267,0.226109174261927,0.204700744602551,0.181571416297847,0.144633496495176,0.200981137832945,0.148393480764749,0.165116594090317,0.157367720553651,0.106014761833095,0.192505701203984,0.238036522322293,0.141426133007891,0.198024053461973,0.198104212357288,0.161828859862678,0.203007254952331,0.126345737751245,0.150444647727982
"KLHDC10","micro1","turquoise",0.240062336923642,0.208383259944373,0.224281298781515,0.158576412169493,0.181661428771761,0.160382982306473,0.205808450277129,0.229798645311036,0.203714301338544,0.208055516477202,0.241668135480346,0.163179345766199,0.211117957529679,0.177621873883419,0.196517444850531,0.186307712475651,0.117436777527928,0.180204783951945,0.126927243757081,0.178098118400785,0.212076883064489,0.148704939936686,0.185626794994743,0.221298516080164,0.202097196643487,0.201054411561005,0.0997245851735842,0.117695868728143
"MEST","micro1","turquoise",0.0613435294294526,0.0890588012386752,0.0434902855053109,0.0660519678837199,0.0526700148838308,0.0613785557420097,0.0564061336053621,0.0708970412650796,0.0802423271681481,0.0594393567172556,0.0689589371748007,0.0397894951890965,0.0631059054816212,0.0480145948371507,0.0715869623355967,0.0623846886770369,0.0267464555716278,0.0645489376373952,0.0471895444755549,0.0578610670039575,0.0386202961611353,0.0889527407698994,0.0465865334912074,0.085146162909784,0.0916430499821273,0.0489527859331984,0.0351485725631775,0.0659454194938777
"COPG2","micro7","brown",0.150494199011489,0.159022239103776,0.13680305194554,0.0885663415006423,0.123678251130321,0.130000388645026,0.102621897491138,0.188237815833192,0.136074936579286,0.128002508850622,0.166269728053546,0.132848251416399,0.127176518278881,0.125049902343859,0.126451744407696,0.0996001185889944,0.0930232385222143,0.115825816097995,0.0998872946141055,0.0993625347527835,0.104842237119339,0.106196856293366,0.101319609769236,0.155714458956875,0.085656539168451,0.087072977929068,0.0711566030634502,0.0900538706123127
"AC016831.7","micro6","blue",0.407049545552791,0.340870251688917,0.44128938769448,0.256022194513698,0.276826474748479,0.214328132814055,0.484380261635498,0.334488562505345,0.31741931412176,0.390912192761778,0.343966095841526,0.304922610222835,0.328356906610227,0.294752690421108,0.282315740397096,0.26240706711154,0.268711069396573,0.26592706315659,0.243563248094962,0.354263148966685,0.432333826336633,0.20926793766754,0.370455685113569,0.318886038998809,0.293358199116566,0.355363053267872,0.196436142660341,0.223964946789291
"LINC00513","micro19","black",0.0668671582484288,0.106501659072618,0.055174834343857,0.02060262363695,0.039214908079625,0.0491669856317812,0.0908984036891634,0.036773246505503,0.0411177801259641,0.0195434175208341,0.0120338798698964,0.0307110974119001,0.0435701425630234,0.100192631762419,0.0188474007004535,0.0767276768826666,0.0531781506207638,0.0553955622397945,0.149819476829661,0.15128349538634,0.0824928960872659,0.0969663240730817,0.0529649841457871,0.0149019580663209,0.0277374584616656,0.0498186530142746,-0.0267368071911591,0.0869525133684271
"MKLN1","micro2","yellow",0.420110581474456,0.342100029359169,0.434137269486916,0.283231032763637,0.276924716350803,0.230722350856822,0.402188257197039,0.380929135912713,0.314166606652918,0.374145985011594,0.37461310278215,0.316658693007454,0.337269026269852,0.281709024277931,0.329945748798405,0.276466215958056,0.247563757217822,0.237248220515709,0.233703637577147,0.33182094529675,0.386844473888631,0.217499980181556,0.344491148179961,0.370759203364947,0.291527098401593,0.295103813474452,0.161461809526287,0.245130590940764
"CHCHD3","micro5","orange",0.362651150412238,0.352332214181716,0.331416322052413,0.243637859807351,0.273342438741807,0.409673332177709,0.323383779517884,0.350262515428928,0.320573023225229,0.322723144886057,0.328646912615775,0.282115248938613,0.316033969550595,0.229282031263737,0.316656794284118,0.236263185678153,0.217309080304511,0.227503078685708,0.228552064941633,0.285806706679848,0.320881756795476,0.261514349742669,0.239724264008296,0.318066039554583,0.280059056602742,0.309817501379452,0.115058690389763,0.22559729330684
"EXOC4","micro10","greenyellow",0.521777124584897,0.458590578025139,0.513185862092729,0.381824543079078,0.346999727341292,0.336260007984087,0.437620056482358,0.527607459130253,0.449791184338886,0.457074235488918,0.526159295371136,0.429700169099172,0.442096869569772,0.331932299805584,0.443833255934259,0.334835720456936,0.311355921355636,0.353393767859764,0.299957522539939,0.376561322980643,0.440586395614429,0.294672959921929,0.362167661403169,0.488730511800461,0.34994717981343,0.395635588716053,0.177556500470077,0.289033244836951
"AKR1B1","micro20","tan",0.105990524374332,0.0877682081946321,0.128972025556513,0.0386213997111558,0.0743592282741296,0.0666369021595444,0.133566153092062,0.0737368251483913,0.0711896897929648,0.10359745899007,0.0905593214896388,0.0567822927892195,0.0937599328824419,0.0959700329902762,0.0567384401999085,0.0451383205545132,0.0949956442103339,0.0375543306984612,0.121171566588,0.0947911393248687,0.116323447611017,0.0316250139112399,0.062405216669224,0.0621476288084081,0.0533262122707823,0.106132579929694,0.0751658590739545,0.0609507024050458
"AGBL3","micro1","turquoise",0.0469400588763842,0.0750534339517195,0.0326353804858771,0.0423193057951927,0.0136888620019449,0.0592819739640679,0.0405325052128996,0.0329828984508408,0.0332533582975816,0.0273219405725034,0.0321831214156236,0.0314076874754694,0.0647306445349045,0.0316327227966349,0.0389957106053002,0.0377264518259627,0.0564914629412427,0.065245616317949,0.0921935878965822,0.0721860788744071,0.0538553699063955,0.0690728587058652,0.042531978376692,0.0175078388436917,0.0144691164511733,0.0442143328235454,-0.00166266561541815,0.0817492993001846
