"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"GNE","micro3","blue",0.0159816332923244,0.00199046598318057,0.00659353121341754,0.00518393373597182,-0.00504344802214379,0.00533265722360358,-0.0199782079443589
"TRMT10B","micro2","brown",0.137626307248098,0.101440040411043,0.156416255343689,0.10639184621192,0.114144157904085,0.0639527809846592,0.0727988226459687
"DCAF10","micro2","brown",0.23707350134142,0.180196054426602,0.238783889965103,0.130559792238913,0.224394933912454,0.102498806906407,0.0862732226361201
"CBWD6","micro1","turquoise",0.227991639037127,0.294828654953643,0.0928993293430771,0.125099450834657,0.209847089003752,0.23960259780892,0.0215294922525734
"LINC01410","micro4","yellow",0.251189991367607,0.191239558432835,0.236764071182937,0.169072207718037,0.29945119643991,0.0927606417505672,0.0688923840781107
"CBWD5","micro1","turquoise",0.327480021511878,0.46452848510798,0.0959493903949116,0.146456927316835,0.269434186530682,0.343325988617275,0.0240627253780395
"CBWD3","micro1","turquoise",0.248782020999648,0.328399435089568,0.0866142099346995,0.135963905927962,0.20945742580358,0.241513830826048,0.0477375935723265
"PGM5","micro1","turquoise",0.287188195450377,0.375528110526247,0.13881439179453,0.0864704759067279,0.266948738765805,0.226654758749702,0.0125079812454677
"AL161457.2","micro1","turquoise",0.149991254001605,0.192932107466134,0.0707681159215589,0.0593492377704564,0.124241374428291,0.130915671135845,0.0387950543078383
"APBA1","micro1","turquoise",0.212411565130597,0.243461590064011,0.136697084064278,0.0558633693598882,0.24741205504101,0.120098602178749,0.00748992787616413
"MAMDC2","micro6","red",0.11869817052195,0.010894430383327,0.242550414181176,0.159493617374428,0.141771511994817,0.0123589034041675,0.315438690246623
"SMC5-AS1","micro1","turquoise",0.142200684973267,0.118664422835779,0.131486470814601,0.0662807485269629,0.178768150604389,0.0686478404760964,0.0555768169763292
"KLF9","micro1","turquoise",0.196750851823616,0.272270730209792,0.066522480954242,0.0855233434165916,0.158058682536921,0.198606501530533,0.0205625537174492
"CEMIP2","micro5","green",0.197232973049613,0.292035150502043,0.0248907975816083,0.149396886509312,0.108941903534272,0.339695447159082,0.0282659471130385
"ZFAND5","micro1","turquoise",0.199907319909995,0.227201491849301,0.133279889964088,0.123866841050533,0.150101759124226,0.203137553075534,0.094137211358384
"CARNMT1","micro2","brown",0.184909406214878,0.115171174944401,0.192939274083974,0.144482411261078,0.161864984572415,0.0960526068744628,0.119742199037556
"NMRK1","micro1","turquoise",0.114460418919336,0.197333980362431,0.0250968292686782,-0.00891582864951878,0.0857119881096618,0.11512104314931,0.00902014626134346
"OSTF1","micro2","brown",0.265622625052226,0.224897744416282,0.241247835331668,0.190223679136067,0.232077118237759,0.172539564488157,0.131084308584138
"PCSK5","micro1","turquoise",0.235151015765248,0.293195171682145,0.149870470692254,0.150818306209353,0.213517564494959,0.246842652381259,0.0943056503849514
"VPS13A","micro1","turquoise",0.177576158452791,0.186531097208352,0.128860276407943,0.0677613071249799,0.175061579855922,0.109836507070422,0.0348773428094544
"GNAQ","micro1","turquoise",0.487731301616358,0.586137384722617,0.235817190106743,0.272446965249732,0.4032581744009,0.478144114929677,0.0876570926958445
"CEP78","micro2","brown",0.138039337433731,0.106859940198907,0.153260288318886,0.0940135042188319,0.158760879173889,0.0457452373792384,0.0515859144538244
"TLE4","micro1","turquoise",0.228148809822251,0.223764645205851,0.19696526479024,0.125857093953244,0.236224178930705,0.137441404214525,0.050646166845893
"UBQLN1","micro2","brown",0.212115237521078,0.148902960217611,0.242038591964363,0.114217631206336,0.193822402602565,0.0820133700008285,0.0933330246102909
"KIF27","micro1","turquoise",0.107652282693098,0.115018852257368,0.0797122065855232,0.0533049900600751,0.099341863693371,0.0652268444815821,0.0377374604609561
