"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"PDAP1","micro1","brown",0.0270058896577524,0.0289052706026783,0.0299864139390063,0.0265256544922113,0.0137806924722233,0.0194364838657538,0.035730458513235,-0.00842591162655325,0.00165915447614589,0.00736901707885722,0.0572180862973298,0.00558448588039901,0.0149597473922646,0.0244932027839735,0.0390565151234781,0.0116798477160304
"LAMTOR4","micro5","blue",0.134815477974642,0.12147448300696,0.0672789122014214,0.13320063783501,0.0714415308994049,0.181727380031785,0.201705432899423,0.102231985696136,0.11299512008426,0.0459492297986486,0.149640754169472,0.0888945367486399,0.0841267678545429,0.0968224348905702,0.0885521864382225,0.0668122948997406
"GAL3ST4","micro5","blue",0.0445443098833314,0.0103820916359523,-0.0243829451343954,0.0454522868045667,0.0224774265300271,0.112326868371516,0.0641865404393446,0.0417078662918571,0.00906882050850817,0.0705114462067317,0.065558818906694,0.0212151243579108,0.0490567606445359,0.0513973613909546,0.0595357830086901,0.0696770508283411
"PILRA","micro8","turquoise",0.215980338716123,0.0623494480592084,0.265687499164921,0.149192622915764,0.13408306659681,0.250723151893589,0.0908627959800597,0.148670351793267,0.34758917131062,0.0232789270038441,0.048279907074157,0.137446834738875,0.177225738325,0.0561534487955878,0.0726631329338443,0.0691726247104785
"C7orf61","micro8","turquoise",0.0604614675823644,-0.00288531700181848,0.0926023157616409,0.0514272043597842,0.0863825796022046,0.0846837080100591,0.00048186622547964,-8.77169809748351e-05,0.131243706791713,-0.00703301200622113,0.0347310904290006,0.00920954796941159,0.073695634520355,0.0218919674030674,-0.0293340868341966,-0.0229017441450761
"SAP25","micro7","magenta",0.0546719494086077,-0.00683508135821672,0.0250875578096079,-0.0091111375750294,-0.0105067568776921,0.0861023679443874,0.0445855103902032,0.049471747624012,0.0520469107549117,0.0312146027359826,0.00550291935328334,0.0415093660602056,0.0443095960685564,0.00252421631948542,-0.0140445103433914,0.0257723606694618
"GNB2","micro5","blue",0.0735290792716392,0.060960305171995,0.0371074498825935,0.080512504279398,0.0285423101968561,0.169632025845264,0.181635622156942,0.0602931128375165,0.0826384484229801,0.0231562473081081,0.0780675111186461,0.0482317802407606,0.0383757538879699,0.0847085228338375,0.0287897773017438,0.0826384934513198
"TRIM56","micro8","turquoise",0.183642972212658,-0.00343733373851196,0.182609915218179,0.152266392081906,0.108392219124441,0.205204600441102,0.0326801917817479,0.13506167743218,0.268782599332413,0.0569331393466421,0.0771579666126522,0.14436184433892,0.177390466064186,0.0999925630606906,0.0666787780194745,0.0482428592925639
"CLDN15","micro5","blue",0.0878464742672786,0.0543914363781715,0.0632291450519369,0.0573764636409088,0.0332854611859886,0.134315076605361,0.0882442647551067,0.062986925081904,0.0930396164029543,0.0291405823428507,0.028160085641609,0.0621865337126561,0.0748496332350004,-0.00290918890233612,0.0277621957838075,0.0350317252524399
"FIS1","micro5","blue",0.067859997535491,0.0825893410764745,0.0262685848687723,0.0584930010849745,0.0369530289724381,0.11779181090468,0.0711297036877407,0.0334315672814936,0.061913678800955,0.0210799061158447,0.0481873948736902,0.0415562822800045,0.0187244838375422,0.0349363419622612,0.0342212908437448,0.0595046880166187
