"","gene_name","module","color","kME_micro_state3_AD1","kME_micro_state3_AD2","kME_grey","kME_micro_state3_AD3","kME_micro_state3_AD4","kME_micro_state3_AD5","kME_micro_state3_AD6","kME_micro_state3_AD7","kME_micro_state3_AD8","kME_micro_state3_AD9","kME_micro_state3_AD10","kME_micro_state3_AD11","kME_micro_state3_AD12","kME_micro_state3_AD13","kME_micro_state3_AD14","kME_micro_state3_AD15","kME_micro_state3_AD16","kME_micro_state3_AD17","kME_micro_state3_AD18","kME_micro_state3_AD19","kME_micro_state3_AD20","kME_micro_state3_AD21"
"TUBB8","TUBB8","micro_state3_AD4","blue",0.0048498630734563,-0.0569869429194243,0.0161797999718153,-0.00814840382069861,0.0647627311292578,-0.00253328410459714,0.00723812492744459,0.0275124506172176,0.0285662998473377,-0.0791760168769713,-0.0176112424777752,-0.0624862300701954,-0.0635477764097468,-0.0094765141965415,0.0155429914176811,0.00894203993918172,-0.059444297971955,0.00464225877388681,0.00597839207638071,-0.0291332472250663,-0.0264452617888254,0.0171271583611634
"ZMYND11","ZMYND11","micro_state3_AD4","blue",0.246124096373177,0.150548153873404,0.250267119341476,0.134358072093909,0.250517929093967,0.282178688599074,0.203693500936331,0.23514241324143,0.255173893605472,0.157529768033914,0.145529122623502,0.0936910155684012,0.153507459559643,0.0885931144464048,0.116197267364919,0.238211727545155,0.0806517951838765,0.205939325811827,0.206760658210095,0.145881785343051,0.114573790045001,0.107052178317122
"DIP2C","DIP2C","micro_state3_AD4","blue",0.099338986035332,0.0507624475631536,0.0896201493955829,0.0869882577050605,0.11593058132837,0.10753862591768,0.105333893561681,0.118875322125479,0.144819708969785,0.121336831683502,0.0916489780772107,0.0710089081524929,0.118610059620523,0.0347939312317226,0.125640224080405,0.0654285394873854,0.0240891264961818,0.0864181250957056,0.044552440850888,0.0848942238258957,0.0575395177069689,0.0528002393566332
"LARP4B","LARP4B","micro_state3_AD9","brown",0.334413680092466,0.274220654461811,0.369042569922628,0.278119674689513,0.246313026811383,0.238136685977061,0.374444236631118,0.21688630136087,0.233305800421646,0.360543425884675,0.261874680600046,0.273181484666928,0.234093041542756,0.175337340577664,0.20241696705254,0.272295881923277,0.110711508843798,0.248755290926487,0.201911235448999,0.186028974697362,0.162775926606495,0.221893377347639
"GTPBP4","GTPBP4","micro_state3_AD2","turquoise",0.0831905492274285,0.102216413813468,0.127089036525211,0.0789603284000115,0.0431634122803972,0.115307819958018,0.0733060216053572,0.085789536211562,0.0130714400143294,0.086926254996001,0.0658147272019989,0.116013199525785,0.0658892378211501,0.0884367769227022,-0.00605641439717176,0.0611018500008426,0.115970333982774,0.0387464728372911,-0.0110977856994958,-0.00885862904990587,0.0539979011628022,0.00904187847824421
"IDI1","IDI1","micro_state3_AD4","blue",0.0358951322287042,-0.0184648867831529,0.00757202324408204,-0.0501687975748139,0.0410901164845662,0.0527776124475699,-0.0374712126332351,0.0503250785544037,-0.0213253511424296,-0.0163178372083112,0.0579410055552196,-0.0291987082340048,-0.082912813209451,0.0121358741576908,-0.0495826711881907,0.0529753857377004,0.00283833668871586,0.0477675323654924,0.00933963910911556,0.0379928423032294,-0.0442913568287662,0.00545306881753445
"WDR37","WDR37","micro_state3_AD11","black",0.180933229808747,0.112093261657789,0.139147521291487,0.191631867689819,0.208863405318964,0.207283465918718,0.198340128633479,0.125030820490486,0.193179950360509,0.237200154779733,0.149185122357508,0.299974029770297,0.156619584771158,0.110996342753986,0.079825188710211,0.159676244352041,0.106954536024881,0.193454193417561,0.118721867521753,0.148634406720278,0.100224342405884,0.172269432615983
"ADARB2","ADARB2","micro_state3_AD5","salmon",0.147317578361025,0.0641617382588386,0.0928005842018245,0.16127219196897,0.112285794709299,0.153942825335126,0.16793010741584,0.141971269611588,0.0321518865083542,0.0797735466478285,0.0335469721598765,0.158143352764211,0.0830898904248722,0.129198390053984,0.0386574775826206,0.0740251573941356,0.0234281512455396,0.102165877292943,0.0959482668778245,0.120392712537172,0.0556729423305951,0.0167420493602182
"PITRM1","PITRM1","micro_state3_AD2","turquoise",0.0362635340746164,0.101809347288742,-0.0246150014779583,0.0417934246888406,-0.0341013311557109,-0.0289018737020566,0.0300900724806413,0.0282421559701714,-0.0186511154396478,0.0215932215457418,0.0666108547088549,0.0198307066466151,0.023123008918763,0.056184067229561,0.0268917011113309,-0.0346750371195883,0.103311964480215,0.00584727110313856,-0.00226196478596054,0.0130807543777003,0.0549411402730325,0.0103525731698171
"FAM208B","FAM208B","micro_state3_AD2","turquoise",0.207744440000351,0.162408402521971,0.216289134774784,0.169156967805126,0.108800084377221,0.18140625200496,0.169159995635647,0.154619635892104,0.187825028233548,0.188923381195285,0.198372407008699,0.132491601446045,0.173637145753526,0.0939966367748068,0.143117554474526,0.133248073725088,0.171752846414081,0.150507822760787,0.188994816981039,0.19547651134367,0.16340743286192,0.146041209525028
